perfil_id,degree,grau,area,duracao
0,"Executive Education, Innovation & Entrepreneurship",3,Administração,0
1,Master of Business Administration (MBA),4,Administração,0
2,Bachelor’s Degree,3,TI,3
3,Engenharia de Produção Civil,3,Engenharia,5
4,Bachelor of Science (B.S.),3,Engenharia,5
5,Pós Graduação em Gestão Estratégica de Negócios,4,Administração,0
6,Master's Degree,5,TI,6
7,Cursando administração,3,Administração,3
8,,3,Administração,0
9,Master of Business Administration (MBA),4,Administração,0
10,Bacharelado em Engenharia,3,Engenharia,10
11,Comunicação Social - Publicidade e Propaganda,3,Marketing,4
12,Graduação em Engenharia,3,Engenharia,5
13,,3,Marketing,4
14,Business Specialist,4,Administração,0
15,Administração em Comércio Exterior,3,Administração,4
16,Master of Business Administration (MBA),4,Administração,2
17,Bachelor's Degree,3,Design,4
18,Master of Business Administration - MBA,4,Administração,2
19,,3,Engenharia,4
20,Ciências Econômicas,3,Outros,3
21,Loyola Intensive English Program - Summer 2014,3,Engenharia,0
22,Master of Business Administration (MBA),4,Administração,1
23,Bacharelado em Engenharia,3,Engenharia,5
24,Mestrado,5,TI,2
25,Bacharelado,3,Engenharia,5
26,"Bacharelado em Comunicação Social, Publicidade e Propaganda",3,Marketing,4
27,Bacharelado em Comunicação Social - Publicidade e Propaganda,3,Marketing,4
28,"Bacharel, jornalismo",3,Marketing,1
29,Masters,5,TI,2
30,,3,Engenharia,6
31,Bachelor,3,TI,4
32,2011,3,Administração,2
33,Post-graduate,4,Design,1
34,Master of Science (MSc),5,Outros,3
35,Master,5,TI,4
36,Bachelor of Industrial Engineering,3,Engenharia,4
37,Bacharel em Sistemas de Informação,3,TI,4
38,Graduação em Sistemas de Informação,3,TI,3
39,Pós Graduação em Ciência de Dados e Big Data,4,Data Science,1
40,Pós Graduação em Design de Interação,4,Design,1
41,Bacharelado em Administração,3,Administração,4
42,Especialização,4,Marketing,0
43,Ciências Econômicas com Ênfase em Controladoria,3,Finanças,4
44,Technologist in,2,TI,3
45,Bacharelado em Sistemas de Informação,3,Outros,0
46,Bachelor’s Degree,3,Engenharia,5
47,Psicologia,3,Outros,5
48,Psicóloga,3,RH,4
49,Especialista,4,Design,3
50,Master of Business Administration (MBA),4,Marketing,1
51,bacharelado,3,Economia,4
52,Bachelor's degree,3,TI,4
53,Comunicação Social - Publicidade e Propaganda,3,Marketing,4
54,Bachelor of Business Administration (BBA),3,Administração,3
55,Bacharel em Publicidade,3,Marketing,3
56,Bacharelado,3,Marketing,3
57,Tecnólogo em Analise e Desenvolvimento de Sistemas,3,TI,3
58,Psicologia,3,Outros,4
59,,3,Finanças,4
60,Graduate,3,Design,1
61,Bachelor's Degree,3,Engenharia,6
62,Publicidade e Propaganda,3,Marketing,4
63,Sistemas de Informação,3,Outros,4
64,Pós Graduação,4,Administração,1
65,People Management Specialization,4,Outros,1
66,Pós-Graduação,3,Finanças,1
67,Pós-Graduação em Comunicação Digital,3,Marketing,1
68,"Bachelor of Science (B.S.), Economics",3,Economia,3
69,,3,Marketing,3
70,Bacharelado,3,Administração,4
71,,3,Outros,4
72,Bacharel em Propaganda e Marketing,3,Marketing,5
73,Bacharelado,3,TI,3
74,Bachelor of Business Administration (BBA),3,Administração,4
75,MBA Latu Sensu,4,Administração,0
76,Master of Business Administration (MBA),4,Administração,1
77,Marketing,3,Marketing,2
78,Bacharel,3,Marketing,4
79,Master's degree,5,TI,2
80,Bacharel em Engenharia da Computação,3,Engenharia,5
81,Specialization: Computation Statistics and Data Analysis,4,TI,1
82,bacharelado em Sistemas de Informação,3,TI,4
83,Bacharelado em Ciência da Computação,3,TI,3
84,Engenheiro de Computação,3,Engenharia,4
85,Engenharia da Computação,3,Engenharia,5
86,Master in Informatics,5,TI,2
87,Bacharelado em Engenharia,3,Engenharia,5
88,,3,TI,4
89,Bacharelado em Engenharia,3,Engenharia,2
90,"Engenharia e Administração de Banco de Dados, Especialização",4,Engenharia,0
91,Pós-Graduado,3,Marketing,0
92,Comunicação Social - Publicidade e Propaganda,3,Marketing,4
93,Ciência da Computação,3,TI,0
94,Bachelor of Business Administration (BBA),3,Administração,4
95,Bachelor's degree,3,Engenharia,5
96,Bachelor,3,Economia,3
97,Comercio exterior,3,Administração,2
98,Master en ingénierie,5,Outros,0
99,MBA,4,Administração,2
100,MBA EM COMUNICAÇÃO E MARKETING,4,Outros,1
101,Psicologia,3,Outros,0
102,Bacharelado em Administração de Empresas,3,Administração,3
103,Pós Graduação,4,Marketing,1
104,Master’s Degree,5,Marketing,1
105,Bacherelando,1,TI,4
106,Gestão Comercial,3,Administração,2
107,,3,Administração,4
108,Graduação,3,Direito,9
109,Bacharel,3,Marketing,7
110,,3,TI,4
