perfil_id,qtd_endossos,qtd_habilidades,qtd_area
0,1598,33,9
1,314,28,7
2,117,47,14
3,14,9,8
4,103,11,5
5,127,29,6
6,126,23,11
7,0,5,2
8,1171,50,7
9,328,47,10
10,95,18,7
11,231,20,5
12,62,10,7
13,54,8,5
14,34,8,5
16,33,15,4
17,17,12,5
18,9,6,4
19,6,10,5
21,79,21,6
22,52,12,7
23,9,7,4
24,39,35,13
29,405,40,14
30,0,4,4
31,297,43,13
32,25,18,6
33,225,20,10
34,90,25,13
35,485,50,14
36,20,7,5
37,141,16,8
38,95,29,13
39,119,39,10
40,128,22,10
42,0,11,6
43,36,24,7
44,218,47,16
45,10,13,6
46,0,9,6
47,35,18,5
49,368,36,9
50,489,40,5
51,156,11,4
52,661,50,12
53,224,22,7
54,108,17,5
55,119,16,5
56,24,5,3
57,360,21,11
58,184,21,6
59,89,18,5
60,701,47,16
61,9,13,7
62,469,25,6
63,368,23,12
64,23,11,6
65,86,20,9
66,270,44,8
67,50,9,5
68,118,16,4
69,101,10,4
70,122,22,11
71,30,11,4
72,173,21,6
73,8,6,6
74,234,32,8
75,59,17,8
76,19,6,3
77,199,30,5
78,388,34,11
79,385,19,10
80,224,41,11
81,68,8,5
82,40,27,13
83,35,19,7
84,48,12,7
85,16,6,4
86,137,34,11
87,15,4,3
88,109,26,8
89,1,6,3
90,198,45,10
91,315,27,7
93,127,24,6
94,180,16,6
95,93,11,5
96,253,26,9
97,106,24,7
98,24,10,6
99,72,21,7
100,303,50,11
101,105,8,4
102,35,13,5
103,195,37,9
104,27,23,9
105,163,28,10
106,54,13,5
107,14,7,4
109,283,39,8
