perfil_id,qtd_linguas,fala_portugues,fala_ingles,fala_espanhol
0,3,True,True,True
1,2,False,True,False
2,2,True,True,False
3,3,True,True,True
4,3,True,True,True
5,1,False,True,False
8,3,True,True,True
9,3,True,True,True
10,2,True,True,False
11,2,True,True,False
12,3,True,True,True
13,3,True,True,True
14,2,False,True,True
15,3,True,True,True
16,4,True,True,True
17,3,True,True,False
18,4,True,True,True
19,2,True,True,False
20,2,False,True,True
21,2,True,True,False
23,4,True,True,True
24,3,True,True,False
25,3,True,True,True
27,4,True,True,True
28,4,True,True,True
29,1,False,True,False
31,3,True,True,True
33,2,True,True,False
34,1,False,True,False
35,2,True,True,False
36,5,True,True,True
37,2,True,True,False
38,2,True,True,False
40,1,False,True,False
41,3,True,False,True
42,3,True,True,True
43,2,True,True,False
44,3,True,True,True
45,2,True,True,False
46,1,False,True,False
47,3,True,True,True
48,4,True,True,True
50,3,True,True,True
51,3,True,True,True
52,3,True,True,True
53,3,True,True,False
54,1,False,True,False
55,2,False,True,False
56,2,True,True,False
57,1,False,True,False
59,3,True,True,True
60,3,True,True,True
61,3,True,True,True
62,1,False,True,False
63,2,True,True,False
64,3,True,True,True
65,1,False,True,False
66,2,True,True,False
67,3,True,True,True
68,3,True,True,True
70,2,True,True,False
71,2,True,True,False
72,2,True,True,False
73,3,True,True,True
74,2,True,True,False
75,1,False,True,False
76,2,True,True,False
78,1,False,True,False
79,1,False,True,False
80,1,False,True,False
81,3,True,True,True
82,1,True,False,False
83,1,True,False,False
84,2,True,True,False
85,2,True,True,False
86,2,True,True,False
87,5,True,True,False
88,1,False,True,False
89,1,False,True,False
91,2,True,True,False
93,1,False,True,False
94,1,False,True,False
95,4,True,True,True
96,4,True,True,True
97,1,False,False,True
98,3,True,True,False
100,3,True,True,True
102,2,True,True,False
105,2,True,True,False
109,1,False,False,True
