perfil_id,genero
0,Masculino
1,Feminino
2,Masculino
3,Feminino
4,Masculino
5,Feminino
6,Não informado
7,Masculino
8,Não informado
9,Feminino
10,Masculino
11,Feminino
12,Masculino
13,Feminino
14,Masculino
15,Feminino
16,Feminino
17,Feminino
18,Feminino
19,Masculino
20,Feminino
21,Masculino
22,Feminino
23,Feminino
24,Masculino
25,Masculino
26,Masculino
27,Não informado
28,Feminino
29,Masculino
30,Masculino
31,Masculino
32,Feminino
33,Masculino
34,Masculino
35,Masculino
36,Masculino
37,Masculino
38,Masculino
39,Masculino
40,Masculino
41,Feminino
42,Feminino
43,Masculino
44,Masculino
45,Não informado
46,Não informado
47,Masculino
48,Feminino
49,Feminino
50,Masculino
51,Masculino
52,Masculino
53,Masculino
54,Masculino
55,Masculino
56,Feminino
57,Feminino
58,Feminino
59,Feminino
60,Masculino
61,Masculino
62,Feminino
63,Masculino
64,Masculino
65,Masculino
66,Masculino
67,Não informado
68,Não informado
69,Feminino
70,Masculino
71,Feminino
72,Masculino
73,Feminino
74,Masculino
75,Masculino
76,Masculino
77,Feminino
78,Masculino
79,Masculino
80,Feminino
81,Masculino
82,Masculino
83,Masculino
84,Masculino
85,Masculino
86,Masculino
87,Feminino
88,Feminino
89,Masculino
90,Masculino
91,Masculino
92,Feminino
93,Feminino
94,Masculino
95,Masculino
96,Masculino
97,Masculino
98,Masculino
99,Feminino
100,Masculino
101,Masculino
102,Feminino
103,Feminino
104,Masculino
105,Masculino
106,Feminino
107,Feminino
108,Masculino
109,Masculino
110,Feminino
